UID,Nick Name,Average View,Average Like,Average Coin,,
25503580,布锅锅,587875.12,29151.56,8583.48,0.014600856,0.049588015
598464467,苏星河牛通,1583288.193,91661.42045,42437.78409,0.026803575,0.057893074
11073,hanser,1443508.449,96258.44203,44751.03623,0.031001576,0.066683671
8549577,机智的Kason,2153011.509,141712.0314,62703.0566,0.029123419,0.065820378
562197,中国BOY超级大猩猩,2006732.019,140376.2775,59116.35407,0.029459018,0.069952677
168598,逍遥散人,1861985.274,130058.5946,56505.87645,0.030347112,0.069849422
26321770,和猫住,1735972.262,127822.3107,54072.18447,0.031148069,0.07363154
513722566,汪品先院士,1549738.496,115993.4568,48527.84958,0.031313573,0.074847116
17819768,电影最TOP,1514924.196,109768.2298,46774.15403,0.030875574,0.072457903
1958342,水无月菌,1932397.49,121698.902,57797.22876,0.029909596,0.062978193
627888730,星有野,2244759.253,148424.279,61200.96267,0.027263932,0.066120355
483311105,先看评测,2099948.338,138502.0519,58292.5814,0.027759055,0.065954981
21869937,DarkCarrot,2020060.775,131757.7964,55911.711,0.027678232,0.065224669
42561463,浑元Rysn,1957500.977,132318.4492,53129.51138,0.027141499,0.067595598
163637592,老师好我叫何同学,2304991.359,171528.7234,92784.35745,0.040253668,0.074416211
66391032,帅soserious,2303657.248,167206.0384,90834.24106,0.03943045,0.072582863
30954515,柳青瑶本尊,2185034.699,159539.1118,86142.52174,0.039423869,0.073014452
1577804,某幻君,2215571.455,165874.6164,89161.92281,0.040243307,0.074867645
326246517,zettaranc,2123729.417,158033.4895,84642.17348,0.039855441,0.074413194
67141499,大漠叔叔,2135660.467,161244.0408,83847.04712,0.039260476,0.075500785
37663924,硬核的半佛仙人,2118468.396,157886.2826,80558.72637,0.038026872,0.074528505
402576555,画渣花小烙,2157002.121,160222.8891,77938.24645,0.03613267,0.074280358
1468951948,MayTree五月树,2102275.07,154846.3348,74631.82172,0.035500503,0.073656553
337312411,翠花不太脆,2115550.479,157068.2545,76473.33939,0.036148199,0.074244626
337521240,记录生活的蛋黄派,2155421.396,162250.99,76129.51867,0.035320016,0.075275763
641975239,刘谦,2143222.009,161120.5625,75098.65179,0.035040071,0.075176795
1968595,鹦鹉梨,2090715.903,156942.4192,72852.56015,0.034845748,0.075066354
3433092,狂阿弥_,2056103.556,154932.1343,73084.40738,0.0355451,0.075352301
179922650,青莲又失利了,2084955.098,156238.1765,71979.65196,0.034523358,0.074935991
1646036311,凤凰传奇,2076203.87,155691.0708,72422.03918,0.03488195,0.074988335
517327498,罗翔说刑法,2081614.937,157452.5316,72386.34286,0.034774127,0.075639605
107278647,熊乐乐大魔王,2076870.163,155288.6605,70652.75627,0.03401886,0.074770519
604003146,帕梅拉PamelaReif,2052224.115,151050.7688,68622.15389,0.033437943,0.073603447
49246269,大象放映室,2014988.755,147913.5692,67701.33837,0.033598867,0.073406647
11253297,多多poi丶,1968464.395,144740.5337,66022.36891,0.033540037,0.073529668
1724598,森纳映画,1943102.111,142640.5054,64738.76068,0.03331722,0.073408651
282994,泠鸢yousa,1903661.988,140140.6886,63577.12188,0.033397274,0.073616372
474702359,自来卷三木,1911082.786,141879.9391,63397.14933,0.033173419,0.074240603
588278127,田野上的繁荣,1885176.849,139338.3984,61983.70551,0.032879518,0.07391264
27565758,#NAME?,1854536.121,137131.7013,60689.25115,0.032724761,0.073943937
335575297,在下铁头阿彪,1896611.719,136904.4442,59871.75988,0.031567748,0.072183696
2206456,花少北丶,1920112.809,139706.6545,61277.09517,0.031913279,0.072759608
17223352,1900影剧室,1882948.345,136899.5803,60043.78799,0.031888176,0.072704905
130636947,塑料叉FOKU,1867360.552,135643.6114,59124.93392,0.031662302,0.072639219
519253600,火柴人AlanBecker,1837925.616,133475.2387,57992.29013,0.031553121,0.072622764
612194373,沙盘上的战争,1813931.912,131537.5131,57244.71587,0.03155836,0.072515133
249608727,杨可爱Ukulele,1800478.731,130399.2536,57409.02914,0.031885425,0.072424768
63231,泛式,1826483.822,132434.3699,58084.55428,0.031801297,0.072507825
10119428,小片片说大片,1815856.764,131336.4494,57384.54523,0.031601912,0.072327538
298946431,香香软软的小泡芙,1786228.205,129344.8305,56261.96162,0.031497634,0.072412265
25876945,极客湾Geekerwan,1771101.076,127970.2853,55756.33733,0.031481172,0.072254648
116683,=咬人猫=,1803598.741,128353.4806,56050.76775,0.031077183,0.071165209
8960728,日食记,1800945.793,128297.8811,55851.39554,0.031012258,0.071239169
7552204,啊吗粽,1812126.133,129993.2714,56556.23443,0.031209877,0.071735223
14804670,无穷小亮的科普日常,1805875.499,130582.0093,55830.07558,0.030915794,0.07230953
20259914,稚晖君,1787934.666,129399.3205,55923.59149,0.031278319,0.072373629
353539995,拜托了小翔哥,1782906.829,128681.5527,55253.46338,0.030990662,0.072175142
38053181,oooooohmygosh,1765718.009,127489.6943,54784.13759,0.03102655,0.072202749
7788379,兔叭咯,1785700.586,129060.2853,55459.5871,0.031057607,0.072274314
6272357,o小庄o,1763422.511,127525.3527,54715.29535,0.031027899,0.072316959
40966108,倒悬的橘子,1756924.786,127248.4018,54333.61387,0.030925407,0.072426778
40427625,取景框看世界,1745603.322,126615.8167,54108.99114,0.030997301,0.072534129
82174834,急速拍档,1744459.568,126532.8263,54073.52376,0.030997293,0.072534112
476704454,小文哥吃吃吃,1738992.723,126068.0513,53629.10577,0.030839178,0.07249487
927587,木鱼水心,1738864.942,126417.5027,54400.70136,0.031285179,0.072701162
546195,老番茄,1787757.552,131420.0562,56249.6951,0.031463827,0.073511118
2920960,大祥哥来了,1774745.127,130326.8874,55557.61027,0.031304557,0.073434143
13164144,魔法Zc目录,1764521.288,129356.3057,55084.19933,0.031217645,0.073309575
396806711,Vicky宣宣,1748434.004,128036.7917,54399.79976,0.031113442,0.073229411
158119101,远古黑金,1748296.854,128059.9062,54753.06204,0.031317943,0.073248376
249115678,好运的鱼,1743362.762,127081.0319,54106.99826,0.031035995,0.072894199
1420982,黑猫厨房,1763588.138,128895.5027,54760.76035,0.031050765,0.073087077
477531206,阿特警官,1758751.497,128335.1918,54083.66967,0.030751172,0.072969485
113362335,宝剑嫂,1758860.95,128787.3274,53856.03832,0.030619839,0.073222006
2200736,才疏学浅的才浅,1781579.036,132471.3361,58292.53273,0.032719588,0.074356138
297344797,朵朵花林,1770027.495,131767.0243,57895.75709,0.032708959,0.07444349
393166851,大碗拿铁,1783474.559,132577.2245,58090.22234,0.032571377,0.074336482
99157282,盗月社食遇记,1804647.637,134293.5604,59104.28124,0.032751148,0.074415391
81824112,导演小策,1824614.259,135847.5767,60988.31291,0.033425319,0.074452765
433351,EdmundDZhang,1812431.716,134915.6229,60747.43245,0.033517088,0.07443901
106685726,二二酸酸,1809410.684,134839.5672,60785.25892,0.033593954,0.074521262
28266043,附魔星Fms,1800816.198,134033.181,60499.2097,0.033595438,0.074429129
404216060,幾加乘,1801682.808,134655.7865,60844.65465,0.033771014,0.074738897
672328094,嘉然今天吃什么,1784591.284,133463.7769,60304.812,0.033791946,0.074786747
313580179,九三的耳朵不是特别好,1781421.985,132773.5815,60007.04553,0.033684914,0.074532358
347667464,老爸评测,1779452.245,132378.4685,59941.37086,0.033685293,0.074392819
7946432,利维坦mY,1762542.367,131080.0351,59306.62362,0.033648339,0.074369863
18202105,绵羊料理,1820142.718,135590.2227,61703.97745,0.033900626,0.074494281
33824345,M木糖M,1838726.727,136447.5272,61715.71685,0.033564377,0.074207616
59905809,哦呼w,1843410.904,137011.4963,62062.0234,0.03366695,0.07432499
515993,枪弹轨迹,1842165.566,137370.8158,61827.51764,0.033562411,0.074570287
437957199,RAY的模型世界,1831106.017,136570.1228,61758.08986,0.033727206,0.074583406
1531707,叔贵,1818421.03,135535.0821,61252.18566,0.03368427,0.074534489
176037767,我是郭杰瑞,1826915.009,136239.1754,60999.27502,0.033389224,0.074573352
5970160,小潮院长,1928398.931,141313.2753,62825.6427,0.032579173,0.073280105
192090,小透明明TM,1932135.723,141265.2841,62878.83305,0.032543694,0.073113541
23947287,小约翰可汗,1963306.514,142661.4673,63528.74631,0.032358038,0.072663879
355596637,一鹿有车,1953441.524,141687.1737,63001.89741,0.032251745,0.072532078
946974,影视飓风,1945131.761,141227.2394,62730.90941,0.032250211,0.072605487
20165629,共青团中央,1927547.531,140076.4569,62117.5384,0.032226203,0.072670819
416128940,在下哲别,1932731.207,140760.8694,62289.90133,0.032228952,0.072830029
147166910,雨哥到处跑,1938147.624,141666.0572,62424.44195,0.032208301,0.073093533
19642758,力元君,1951170.174,143241.0398,63163.36484,0.032372043,0.073412889
13354765,徐大虾咯,1968197.455,144619.3462,63545.98077,0.032286385,0.073478068